t=1655301834.2000666;temp=90.625;heater=0;scale=-2297.335032223344;pressure=4.095;pump=0;stage=0;
t=1655301834.2549736;temp=90.625;heater=0;scale=-0.0;pressure=4.095;pump=60;stage=1;
t=1655301834.3106272;temp=90.625;heater=0;scale=0.014837914527000002;pressure=4.095;pump=60.23222766816616;stage=1;
t=1655301834.357118;temp=90.5625;heater=0;scale=0.014837914527000002;pressure=4.095;pump=60.473187148571014;stage=1;
t=1655301834.4013407;temp=90.5625;heater=0;scale=0.014837914527000002;pressure=4.095;pump=60.70772905647755;stage=1;
t=1655301834.4587047;temp=90.5625;heater=0;scale=0.034570811166000005;pressure=4.095;pump=60.94151918590069;stage=1;
t=1655301834.5040224;temp=90.5625;heater=0;scale=0.034570811166000005;pressure=4.095;pump=60.94151918590069;stage=1;
t=1655301834.5609093;temp=90.5625;heater=0;scale=-0.023710069605000002;pressure=4.095;pump=61.1861247420311;stage=1;
t=1655301834.6070004;temp=90.5625;heater=0;scale=-0.023710069605000002;pressure=4.095;pump=61.43202319741249;stage=1;
t=1655301834.652616;temp=90.5625;heater=0;scale=-0.023710069605000002;pressure=4.095;pump=61.667994782328606;stage=1;
t=1655301834.7081602;temp=90.5625;heater=0;scale=-0.008566218696000001;pressure=4.095;pump=61.90061081945896;stage=1;
t=1655301834.7552414;temp=90.5625;heater=0;scale=-0.008566218696000001;pressure=4.095;pump=62.14217931032181;stage=1;
t=1655301834.8005168;temp=90.5625;heater=0;scale=-0.008566218696000001;pressure=4.095;pump=62.37933596968651;stage=1;
t=1655301834.8574865;temp=90.5625;heater=0;scale=-0.017591341965;pressure=4.095;pump=62.61332976818085;stage=1;
t=1655301834.9035075;temp=90.5;heater=0;scale=-0.017591341965;pressure=4.095;pump=62.61332976818085;stage=1;
t=1655301834.9590282;temp=90.5;heater=0;scale=-0.038853920514;pressure=4.09;pump=62.85847544670105;stage=1;
t=1655301835.0046558;temp=90.5;heater=0;scale=-0.038853920514;pressure=4.09;pump=63.09673132002354;stage=1;
t=1655301835.061065;temp=90.5;heater=0;scale=0.036100493076;pressure=4.091;pump=63.32694526016712;stage=1;
t=1655301835.1078146;temp=90.5;heater=0;scale=0.036100493076;pressure=4.091;pump=63.5742154866457;stage=1;
t=1655301835.1534429;temp=90.5;heater=0;scale=0.036100493076;pressure=4.091;pump=63.80975577235222;stage=1;
t=1655301835.2089245;temp=90.5625;heater=0;scale=-0.09789964224;pressure=4.095;pump=64.04530304670334;stage=1;
t=1655301835.2561057;temp=90.5625;heater=0;scale=-0.09789964224;pressure=4.095;pump=64.28362880647182;stage=1;
t=1655301835.3010879;temp=90.5;heater=0;scale=-0.09789964224;pressure=4.095;pump=64.28362880647182;stage=1;
t=1655301835.3683934;temp=90.5;heater=0;scale=-0.050632471221;pressure=4.095;pump=64.52384649217129;stage=1;
t=1655301835.4051673;temp=90.4375;heater=0;scale=-0.050632471221;pressure=4.095;pump=64.81177565455437;stage=1;
t=1655301835.4504974;temp=90.4375;heater=0;scale=-0.050632471221;pressure=4.095;pump=65.05335013568401;stage=1;
t=1655301835.505408;temp=90.4375;heater=0;scale=0.07342473168000001;pressure=4.095;pump=65.28668200969696;stage=1;
t=1655301835.5608916;temp=90.4375;heater=0;scale=0.07342473168000001;pressure=4.095;pump=65.51645067334175;stage=1;
